station_id,station_name,operator_network,district,province,address,charger_level,connector_types,power_kw,latitude,longitude,maps_link,access,status,source,last_verified,added_phase,geo_precision
SL-0001,Gampola Dasuni C Complex,JKCG BYD Network,Kandy,Central,"No.58/9, Doluwa Road, Hindagala",DC Fast,CCS2,,7.161419,80.57393,"https://www.google.com/maps?q=7.161419,80.57393",Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,exact
SL-0002,Kandy Earl's Regent Hotel,JKCG BYD Network,Kandy,Central,"No.40/1, Deveni Rajasinghe Mawatha, Kandy",DC Fast,CCS2,,7.283807,80.610087,"https://www.google.com/maps?q=7.283807,80.610087",Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,exact
SL-0003,Kandy Myst by Cinnamon,JKCG BYD Network,Kandy,Central,"No.273, Katugastota Road, Kandy",DC Fast,CCS2,,7.278791,80.604353,https://maps.app.goo.gl/rNj4zTUVXQp9fNNj8,Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,approximate
SL-0004,Kandy Royal Kandyan,JKCG BYD Network,Kandy,Central,"No.833, Peradeniya Road, Kandy",DC Fast,CCS2,,7.277539,80.615919,"https://www.google.com/maps?q=7.277539,80.615919",Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,exact
SL-0005,Keells Kandy 3 - Peradeniya Road,JKCG BYD Network,Kandy,Central,"No. 927, Peradeniya Road, Kandy",DC Fast,"CCS2, CHAdeMO",,7.27892,80.618935,https://maps.app.goo.gl/BLdqjAokPPWoJzvR6,Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,approximate
SL-0006,Dambulla Gimanhala Hotel,JKCG BYD Network,Matale,Central,"No.754, Anuradhapura Road, Dambulla",DC Fast,CCS2,,7.879908,80.650254,"https://www.google.com/maps?q=7.879908,80.650254",Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,exact
SL-0007,Keells - Matale 2,JKCG BYD Network,Matale,Central,"No. 833A, Aluvihare, Matale",DC Fast,"CCS2, CHAdeMO",,7.489017,80.623305,https://maps.app.goo.gl/BTbQ7nqSXpecCkq67,Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,approximate
SL-0008,Matale Nilani Restaurant,JKCG BYD Network,Matale,Central,"P.52, Ududeniya, Nalanda",DC Fast,CCS2,,7.655946,80.635316,"https://www.google.com/maps?q=7.655946,80.635316",Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,exact
SL-0009,Palapathwela Sri Krishna Restaurant,JKCG BYD Network,Matale,Central,"No.16, Kirigalpoththa, Palapathwala, Matale",DC Fast,CCS2,,7.515865,80.623377,"https://www.google.com/maps?q=7.515865,80.623377",Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,exact
SL-0010,Sigiriya Aliya Resort & Spa,JKCG BYD Network,Matale,Central,"Audangawa Inner Rd, Audangawa, Kimbissa",DC Fast,CCS2,,8.000607,80.735638,"https://www.google.com/maps?q=8.000607,80.735638",Public (store/venue hours; Keells sites typically 24/7),active,johnkeellscgauto.com/charger-network,2026-07-27,Phase 1,exact
